Starting experiment at 05/31/2024 11:38:47
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
11:39:19, Room_121, NO_ITEMS, , , , 4.079605  3.958298
11:39:19, Room_121, NO_ITEMS, , , , 4.079727  3.958344
11:39:19, Room_121, NO_ITEMS, , , , 4.079391  3.926056
11:39:19, Room_121, NO_ITEMS, , , , 4.061707  3.911484
11:39:19, Room_121, NO_ITEMS, , , , 4.073151  3.833496
11:39:19, Room_121, NO_ITEMS, , , , 4.159515  3.930817
11:39:19, Room_121, NO_ITEMS, , , , 4.179367  3.872757
11:39:19, Room_121, NO_ITEMS, , , , 4.19754  3.950089
11:39:19, Room_121, NO_ITEMS, , , , 4.202621  3.935989
11:39:19, Room_121, NO_ITEMS, , , , 4.197052  3.9384
11:39:19, Room_121, NO_ITEMS, , , , 4.20311  3.947174
11:39:19, Room_121, NO_ITEMS, , , , 4.20491  3.951233
11:39:19, Room_121, NO_ITEMS, , , , 4.205048  3.958176
11:39:19, Room_121, NO_ITEMS, , , , 4.208984  3.973511
11:39:19, Room_121, NO_ITEMS, , , , 4.217789  3.996674
11:39:19, Room_121, NO_ITEMS, , , , 4.226532  3.996628
11:39:19, Room_121, NO_ITEMS, , , , 4.229935  4.00412
11:39:19, Room_121, NO_ITEMS, , , , 4.248322  4.039276
11:39:19, Room_121, NO_ITEMS, , , , 4.326797  4.058838
11:39:19, Room_121, NO_ITEMS, , , , 4.204056  4.133606
11:39:19, Room_121, NO_ITEMS, , , , 4.244873  4.113235
11:39:19, Room_121, NO_ITEMS, , , , 4.256149  4.171524
11:39:19, Room_121, NO_ITEMS, , , , 4.305389  4.183517
11:39:19, Room_121, NO_ITEMS, , , , 4.325195  4.174805
11:39:19, Room_121, NO_ITEMS, , , , 4.346527  4.225098
11:39:19, Room_121, NO_ITEMS, , , , 4.365356  4.231613
11:39:19, Room_121, NO_ITEMS, , , , 4.40036  4.219238
11:39:20, Room_121, NO_ITEMS, , , , 4.407333  4.237457
11:39:20, Room_121, NO_ITEMS, , , , 4.428284  4.225449
11:39:20, Room_121, NO_ITEMS, , , , 4.428177  4.246277
11:39:20, Room_121, NO_ITEMS, , , , 4.429825  4.25531
11:39:20, Room_121, NO_ITEMS, , , , 4.484863  4.076782
11:39:20, Room_121, NO_ITEMS, , , , 4.298645  4.10881
11:39:20, Room_121, NO_ITEMS, , , , 4.256302  4.134811
11:39:20, Room_121, NO_ITEMS, , , , 4.255997  4.134384
11:39:20, Room_121, NO_ITEMS, , , , 4.241638  4.11937
11:39:20, Room_121, NO_ITEMS, , , , 4.204803  4.108276
11:39:20, Room_121, NO_ITEMS, , , , 4.183334  4.070724
11:39:20, Room_121, NO_ITEMS, , , , 4.156021  4.049194
11:39:20, Room_121, NO_ITEMS, , , , 4.147522  4.039978
11:39:20, Room_121, NO_ITEMS, , , , 4.147598  4.025345
11:39:20, Room_121, NO_ITEMS, , , , 4.148132  4.020798
11:39:20, Room_121, NO_ITEMS, , , , 4.14534  3.992447
11:39:20, Room_121, NO_ITEMS, , , , 4.149292  3.963181
11:39:20, Room_121, NO_ITEMS, , , , 4.160965  3.961136
11:39:20, Room_121, NO_ITEMS, , , , 4.189178  3.961258
11:39:20, Room_121, NO_ITEMS, , , , 4.310287  4.087265
11:39:20, Room_121, NO_ITEMS, , , , 4.260269  4.064941
11:39:20, Room_121, NO_ITEMS, , , , 4.294724  4.090134
11:39:20, Room_121, NO_ITEMS, , , , 4.199692  4.064087
11:39:20, Room_121, NO_ITEMS, , , , 4.213654  4.054581
11:39:20, Room_121, NO_ITEMS, , , , 4.226608  4.064529
11:39:20, Room_121, NO_ITEMS, , , , 4.239578  4.067886
11:39:20, Room_121, NO_ITEMS, , , , 4.241058  4.07724
11:39:20, Room_121, NO_ITEMS, , , , 4.275589  4.077667
11:39:20, Room_121, NO_ITEMS, , , , 4.303787  4.194183
11:39:20, Room_121, NO_ITEMS, , , , 4.338013  4.195938
11:39:20, Room_121, NO_ITEMS, , , , 4.389801  4.274734
11:39:20, Room_121, NO_ITEMS, , , , 4.40062  4.27861
11:39:20, Room_121, NO_ITEMS, , , , 4.49794  4.340286
11:39:20, Room_121, NO_ITEMS, , , , 4.602234  4.386719
11:39:20, Room_121, NO_ITEMS, , , , 4.516632  4.367813
11:39:20, Room_121, NO_ITEMS, , , , 4.531693  4.435165
11:39:20, Room_121, NO_ITEMS, , , , 4.547379  4.328247
11:39:20, Room_121, NO_ITEMS, , , , 4.580795  4.457642
