subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
p01,0,Room_55,stay,yes,A,1,left,A,B,60.76955,59.11431,0,0,60.78338,59.08762,-0.1069474,-0.3033071,60.78624,59.05977,-0.1337911,-0.4015819,Right,11.7835,
p01,0,Room_55,stay,yes,A,1,left,B,B,70.40092,59.2216,0,0,70.40936,59.15675,-0.03329045,-0.3697091,70.36408,59.11723,-0.04221334,-0.3676807,Left,9.174044,
p01,1,Room_56,stay,no,B,1,left,A,B,61.125,98.94855,0,0,61.03878,98.88842,-0.07917518,-0.3107114,61.11051,98.80891,-0.1096855,-0.3755728,Left,12.67381,
p01,2,Room_95,stay,no,A,1,left,B,A,37.7784,117.4009,0,0,37.82121,117.3561,0.1598302,-0.2282197,37.92181,117.2941,0.3582394,-0.4448569,Right,12.56124,
p01,3,Room_113,stay,yes,A,1,left,A,A,89.23045,49.11431,0,0,89.24924,49.09735,0.0237717,-0.3100003,89.30817,48.97602,0.005159201,-0.4051244,Right,11.55172,
p01,4,Room_48,stay,yes,A,1,left,A,A,100.3907,54.78418,0,0,100.3305,54.82846,0.3378403,0.06207218,100.3493,54.91682,0.3970754,-0.02544309,Right,13.97127,
p01,5,Room_59,stay,no,A,1,left,B,A,81.95954,48.1209,0,0,81.94606,48.10971,-0.2072087,-0.254205,81.80172,48.10474,-0.2038652,-0.3341266,Left,12.46024,
p01,6,Room_47,stay,yes,A,1,left,A,B,18.2764,28.44327,0,0,18.35292,28.43272,0.1563709,-0.3220235,18.38309,28.39395,0.1090168,-0.3258682,Left,10.92873,
p01,7,Room_21,stay,no,B,1,left,A,A,37.78418,27.39071,0,0,37.78667,27.40744,0.195639,-0.2501395,37.93232,27.37801,0.2000161,-0.2816171,Left,9.229865,
p01,8,Room_23,stay,no,B,1,left,A,A,51.94855,98.125,0,0,51.82721,98.03187,-0.1705314,-0.2903598,51.86264,98.02277,-0.1739162,-0.2847514,Right,10.72867,
p01,9,Room_94,stay,yes,A,1,left,A,B,41.94855,88.125,0,0,41.95235,88.1111,-0.1409189,-0.2889099,41.86673,88.03329,-0.2055661,-0.3027937,Left,12.4841,
p01,10,Room_83,stay,yes,B,1,left,B,B,48.86343,105.0495,0,0,48.91446,105.0893,0.3277852,-0.1271593,48.98334,105.1003,0.347121,-0.1533805,Left,10.19489,
p01,11,Room_104,stay,no,A,1,left,B,B,90.40092,29.2216,0,0,90.41201,29.21456,-0.0784132,-0.2905135,90.43308,29.08575,-0.005029977,-0.654357,No response,N/A,
p01,12,Room_28,stay,no,A,1,left,B,A,32.25746,76.99095,0,0,32.22915,76.96774,0.3703822,0.2941891,32.12425,77.04716,0.2724343,0.2798112,Left,10.05986,
p01,13,Room_72,stay,no,A,1,left,B,B,20.38309,84.77526,0,0,20.32545,84.89206,0.6055836,0.05903059,20.43623,84.96749,0.3647441,0.007190743,Left,11.06044,
p01,14,Room_81,stay,yes,A,1,left,B,A,29.2194,104.8818,0,0,29.26168,104.9612,0.3239899,-0.1142712,29.30998,105.0038,0.3902538,-0.08922496,Left,9.929151,
p01,15,Room_102,stay,yes,B,1,left,B,A,37.88569,67.76955,0,0,38.08241,65.81222,0.2062653,-0.2393565,37.95342,67.77016,0.1341445,-0.2952658,Left,9.806842,
p01,16,Room_63,walk,no,A,2,left,B,B,32.25,117,0,0,31.4249,118.6035,-0.09368345,-0.3833332,32.18273,116.9456,0.254921,0.2363819,Left,9.395101,
p01,17,Room_112,walk,no,A,2,left,B,B,109.6093,34.78418,0,0,111.4074,35.34497,0.3215218,0.08648445,109.6443,34.84196,0.4955057,-0.07119095,Right,11.99468,
p01,18,Room_40,walk,no,A,2,left,A,A,102.1244,27.7636,0,0,101.9332,25.94727,0.297877,0.1173441,101.9334,27.76062,-0.1856921,-0.2908429,Right,11.9057,
p01,19,Room_29,walk,yes,A,2,left,A,B,109.2364,59.12442,0,0,111.0681,58.90037,-0.1685402,-0.3703535,109.2943,58.91216,0.08884034,-0.3733584,Left,12.14995,
p01,20,Room_60,walk,no,B,2,left,B,B,111.9486,98.125,0,0,110.3699,99.15514,-0.04363219,-0.3302963,111.8362,98.07336,0.2399423,0.314202,Left,10.07289,
p01,21,Room_100,walk,no,B,2,left,A,B,32.11823,86.2194,0,0,30.72485,84.96116,0.3267531,0.0151039,32.00571,86.281,0.2585023,0.2174894,Left,11.53965,
p01,22,Room_82,walk,no,B,2,left,A,B,40.7636,104.8756,0,0,38.91906,105.0419,0.3011053,-0.1352717,40.72791,104.9969,0.5369177,0.1253004,Right,14.12686,
p01,23,Room_103,walk,yes,A,2,left,A,A,19.61691,69.22474,0,0,21.43344,68.6955,-0.08701974,-0.2620571,19.64532,69.06139,0.008046428,-0.342276,Left,12.61596,
p01,24,Room_61,walk,yes,A,2,left,A,B,89.59908,4.778404,0,0,88.19028,5.927291,0.2312552,-0.1553167,89.72065,4.848302,0.3420411,-0.09428848,Left,10.86291,
p01,25,Room_8,walk,no,B,2,left,B,A,60.76955,59.11431,0,0,58.8896,58.88501,0.05636087,-0.3040921,60.71382,59.01169,-0.1091597,-0.3634318,Right,10.82771,
p01,26,Room_55,walk,yes,B,2,left,A,A,109.2364,59.12442,0,0,111.0461,58.91545,-0.1138693,-0.3483588,109.3938,59.01044,0.1029454,-0.6352355,Right,10.46431,
p01,27,Room_60,walk,yes,A,2,left,B,B,38.875,98.94855,0,0,37.81812,97.38188,0.2045308,-0.2533351,38.90537,98.86346,0.09537382,-0.413103,Left,9.229378,
