id,condition,sceneName,sceneNumber,task,block,trial,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,97,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,98,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,99,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,100,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,101,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,102,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,103,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,104,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,105,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,106,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,107,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,108,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,109,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,110,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,111,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,112,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,113,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,114,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,115,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,116,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,117,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,118,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,119,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,120,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,121,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,122,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,123,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,124,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,125,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,126,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,127,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,128,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,129,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,130,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,131,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,132,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,133,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,134,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,135,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,136,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,137,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,138,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,139,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,140,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,141,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,142,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,143,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,144,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,145,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,146,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,147,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,148,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,149,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,150,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,151,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,152,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,153,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,154,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,155,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,156,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,157,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,158,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,159,
NG_pilot,default,use for vr,1,TASK_ViewpointTask,1,160,
