Starting Experiment now at 3/12/2024 10:47:29 AM

Time: 3/12/2024 10:47:34 AM   |     Distance: 4.315856    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.2, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.413773 6.053818
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.288833    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 2.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.534546 6.074112
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.282689    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 2.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.477768 6.333694
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.305598    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 2.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.551666 6.299194
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.240907    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 1.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.222672 6.101837
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.187991    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.2, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.488495 6.033905
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.186897    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.0, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.499832 6.504608
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.374331    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.2, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.448639 5.522797
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.340621    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.9, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.319794 5.913925
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.322409    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.9, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.181625 5.844223
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.300198    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.0, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.587494 5.755127
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.361475    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.8, 1.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.352585 5.682083
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.237751    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.631058 5.733063
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.223635    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.540131 5.854614
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.233952    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.557449 5.84343
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.309587    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.7, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.738281 6.007187
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.294477    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.9, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.656219 6.105682
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.274567    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.0, 2.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.610214 6.067215
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.282739    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.0, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.542801 6.13205
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.287088    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.2, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.481415 5.948486
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.28614    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.3, 2.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.61116 6.081604
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.299916    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.4, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.649765 6.003342
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.204197    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.6, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.257294 6.085297
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.228779    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.488571 5.848892
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.280919    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.1, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.335999 5.63356
