Starting Experiment now at 3/8/2024 5:03:18 PM

Time: 3/8/2024 5:03:36 PM   |     Distance: 11.7368    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (110.7, 0.1, -7.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.220856 5.531433
Time: 3/8/2024 5:03:36 PM   |     Distance: 11.81924    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (110.8, 0.1, -7.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.270096 5.507813
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.633636    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.9, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.327713 4.454361
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.644365    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.9, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.651505 4.383682
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.656613    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.8, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.471085 4.239883
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.65173    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.9, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.539871 4.273956
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.641186    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.9, 29.0)   |  Item: w2  |   Pupil Size (Left, right): 4.470337 4.260406
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.637361    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.9, 29.0)   |  Item: w2  |   Pupil Size (Left, right): 4.484528 4.253937
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.654238    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.8, 29.0)   |  Item: w2  |   Pupil Size (Left, right): 4.518188 4.27272
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.652343    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.8, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 4.515518 4.340698
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.646863    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.8, 29.0)   |  Item: w2  |   Pupil Size (Left, right): 4.501343 4.27121
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.668428    |   Participant Coords: (80.3, 1.8, 29.2)   |   Item Coord: (82.8, 0.8, 29.2)   |  Item: w2  |   Pupil Size (Left, right): 4.461975 4.163376
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.701892    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 0.7, 29.0)   |  Item: w2  |   Pupil Size (Left, right): 4.353775 4.112259
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.564243    |   Participant Coords: (80.3, 1.8, 29.2)   |   Item Coord: (82.8, 1.1, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 4.543381 4.370102
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.558901    |   Participant Coords: (80.3, 1.8, 29.2)   |   Item Coord: (82.8, 1.2, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 4.558029 4.385345
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.570213    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 1.2, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.587692 4.405594
Time: 3/8/2024 5:03:41 PM   |     Distance: 2.571171    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 1.2, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.576401 4.461945
Time: 3/8/2024 5:03:42 PM   |     Distance: 2.577059    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 1.2, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.479034 4.449921
Time: 3/8/2024 5:03:42 PM   |     Distance: 2.503397    |   Participant Coords: (80.3, 1.8, 29.2)   |   Item Coord: (82.8, 1.5, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 4.676361 4.628983
Time: 3/8/2024 5:03:42 PM   |     Distance: 2.50211    |   Participant Coords: (80.3, 1.8, 29.2)   |   Item Coord: (82.8, 1.5, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 4.790192 4.719559
Time: 3/8/2024 5:03:42 PM   |     Distance: 2.499665    |   Participant Coords: (80.3, 1.8, 29.2)   |   Item Coord: (82.8, 1.6, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 4.805466 4.68309
Time: 3/8/2024 5:03:42 PM   |     Distance: 2.51283    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 1.6, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.732544 4.644501
Time: 3/8/2024 5:03:42 PM   |     Distance: 2.523747    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 1.6, 28.9)   |  Item: w2  |   Pupil Size (Left, right): 4.77919 4.873123
Time: 3/8/2024 5:03:43 PM   |     Distance: 2.654815    |   Participant Coords: (80.3, 1.8, 29.3)   |   Item Coord: (82.8, 1.0, 28.7)   |  Item: w2  |   Pupil Size (Left, right): 5.052292 5.202988
Time: 3/8/2024 5:03:43 PM   |     Distance: 2.692265    |   Participant Coords: (80.3, 1.7, 29.3)   |   Item Coord: (82.8, 0.8, 28.7)   |  Item: w2  |   Pupil Size (Left, right): 5.584045 5.318085
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.67895    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.7, 0.1, 29.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.642075 4.866302
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.673974    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.7, 0.1, 29.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.805161 4.95784
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.681218    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.7, 0.1, 29.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.796082 5.012543
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.697461    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.999847 4.935623
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.695077    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.007477 5.00383
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.700454    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.828217 5.078278
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.701531    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.815521 5.023499
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.707339    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.866028 5.045456
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.711732    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.837112 4.958298
