Starting Experiment now at 3/8/2024 1:38:27 PM

Time: 3/8/2024 1:39:53 PM   |     Distance: 2.895555    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 2.1, 7.7)   |  Item: w2  |   Pupil Size (Left, right): 3.528519 3.294922
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.918554    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 2.1, 7.7)   |  Item: w2  |   Pupil Size (Left, right): 3.614761 3.248047
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.010818    |   Participant Coords: (20.5, 1.3, 9.5)   |   Item Coord: (22.8, 2.1, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 3.47583 3.216522
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.186958    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 2.2, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 3.634567 3.253632
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.186433    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 2.2, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 3.556458 3.335037
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.180308    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 2.1, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 3.556808 3.277603
Time: 3/8/2024 1:39:54 PM   |     Distance: 2.976763    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 2.1, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 3.630722 3.278
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.057461    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 2.1, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.672089 3.235046
Time: 3/8/2024 1:39:54 PM   |     Distance: 2.967161    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 2.1, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 3.135605 3.372467
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.562702    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 6.7)   |  Item: w2  |   Pupil Size (Left, right): 3.679672 3.322144
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.69855    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.6, 6.5)   |  Item: w2  |   Pupil Size (Left, right): 3.692413 3.365204
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.774662    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.6, 6.4)   |  Item: w2  |   Pupil Size (Left, right): 3.726456 3.33165
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.827517    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.7, 6.3)   |  Item: w2  |   Pupil Size (Left, right): 3.653534 3.361191
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.818452    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.7, 6.3)   |  Item: w2  |   Pupil Size (Left, right): 3.700607 3.34993
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.753108    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.7, 6.4)   |  Item: w2  |   Pupil Size (Left, right): 3.734741 3.494431
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.748972    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.5, 6.4)   |  Item: w2  |   Pupil Size (Left, right): 3.850601 3.359451
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.9944    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.1, 6.1)   |  Item: w2  |   Pupil Size (Left, right): 3.754501 3.444489
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.166895    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.7, 5.9)   |  Item: w2  |   Pupil Size (Left, right): 3.674988 3.424667
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.294016    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.4, 5.9)   |  Item: w2  |   Pupil Size (Left, right): 3.758286 3.491409
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.419325    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.2, 5.8)   |  Item: w2  |   Pupil Size (Left, right): 3.728668 3.518784
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.109776    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.5, 0.1, 6.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.661453 3.411987
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.056791    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.4, 0.1, 6.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.665115 3.404755
Time: 3/8/2024 1:39:54 PM   |     Distance: 3.961845    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.4, 0.1, 6.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.725861 3.489365
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.16279    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.4, 0.1, 5.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.687531 3.509827
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.33892    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.5, 0.1, 5.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.735611 3.496323
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.451233    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.6, 0.1, 5.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.687485 3.540741
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.520793    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.6, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.69278 3.594986
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.712307    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.7, 0.1, 5.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.642624 3.58371
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.889733    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.1, 5.2)   |  Item: w2  |   Pupil Size (Left, right): 3.861481 3.578613
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.946929    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.1, 5.1)   |  Item: w2  |   Pupil Size (Left, right): 3.772888 3.545883
Time: 3/8/2024 1:39:54 PM   |     Distance: 5.062728    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.2, 5.0)   |  Item: w2  |   Pupil Size (Left, right): 3.742172 3.485382
Time: 3/8/2024 1:39:54 PM   |     Distance: 5.109952    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 0.1, 4.9)   |  Item: w2  |   Pupil Size (Left, right): 3.91275 3.598633
Time: 3/8/2024 1:39:54 PM   |     Distance: 5.273125    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.7, 0.1, 4.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.884415 3.605286
Time: 3/8/2024 1:39:54 PM   |     Distance: 5.073258    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.6, 0.1, 4.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.787079 3.649292
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.820406    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.4, 0.1, 5.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.863785 3.669693
