Starting Experiment now at 3/8/2024 10:29:11 AM

Time: 3/8/2024 10:30:06 AM   |     Distance: 25.58957    |   Participant Coords: (99.4, 13.2, 91.2)   |   Item Coord: (77.3, 0.5, 89.3)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.7533    |   Participant Coords: (97.6, 13.2, 91.1)   |   Item Coord: (77.2, 1.0, 89.1)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.70609    |   Participant Coords: (95.6, 13.1, 91.0)   |   Item Coord: (77.2, 1.8, 88.8)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 24.48825    |   Participant Coords: (93.7, 13.1, 90.9)   |   Item Coord: (73.2, 0.1, 88.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.04155    |   Participant Coords: (92.0, 13.2, 90.7)   |   Item Coord: (72.9, 0.7, 87.8)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.1766    |   Participant Coords: (90.3, 13.4, 90.5)   |   Item Coord: (72.8, 1.8, 87.6)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 24.2396    |   Participant Coords: (88.6, 13.6, 90.3)   |   Item Coord: (68.8, 0.1, 86.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 24.1115    |   Participant Coords: (86.7, 13.8, 90.0)   |   Item Coord: (67.3, 0.1, 86.1)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.91245    |   Participant Coords: (84.7, 13.8, 89.7)   |   Item Coord: (67.2, 1.2, 85.8)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 19.66331    |   Participant Coords: (82.6, 13.9, 89.3)   |   Item Coord: (67.2, 2.3, 85.5)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.55674    |   Participant Coords: (80.3, 13.9, 88.8)   |   Item Coord: (62.9, 0.4, 84.2)   |  Item: w4  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.86247    |   Participant Coords: (77.9, 13.9, 88.2)   |   Item Coord: (60.5, 0.1, 83.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.5461    |   Participant Coords: (75.5, 13.9, 87.6)   |   Item Coord: (58.6, 0.0, 82.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.43672    |   Participant Coords: (72.9, 14.1, 86.8)   |   Item Coord: (56.4, 0.0, 81.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.38684    |   Participant Coords: (70.5, 14.3, 86.1)   |   Item Coord: (54.3, 0.0, 80.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.77395    |   Participant Coords: (68.4, 14.5, 85.3)   |   Item Coord: (52.9, 0.5, 79.3)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 19.27027    |   Participant Coords: (66.4, 14.7, 84.6)   |   Item Coord: (52.8, 2.1, 79.0)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.67193    |   Participant Coords: (64.4, 15.0, 83.8)   |   Item Coord: (48.8, 0.1, 77.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.4179    |   Participant Coords: (62.5, 15.3, 82.9)   |   Item Coord: (47.3, 0.4, 76.1)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 19.99128    |   Participant Coords: (60.6, 15.6, 82.1)   |   Item Coord: (47.2, 2.2, 75.8)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.38544    |   Participant Coords: (58.8, 16.0, 81.2)   |   Item Coord: (43.4, 0.1, 73.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.65807    |   Participant Coords: (57.1, 16.4, 80.3)   |   Item Coord: (41.8, 0.0, 72.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.78985    |   Participant Coords: (55.7, 16.7, 79.5)   |   Item Coord: (40.6, 0.0, 71.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.79603    |   Participant Coords: (54.3, 16.9, 78.8)   |   Item Coord: (39.5, 0.0, 70.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.60487    |   Participant Coords: (53.0, 16.9, 78.0)   |   Item Coord: (38.5, 0.0, 70.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.0365    |   Participant Coords: (51.8, 17.0, 77.4)   |   Item Coord: (38.5, 1.0, 69.9)   |  Item: w3  |   Pupil Size (Left, right): 0 0
