Starting Experiment now at 3/8/2024 5:43:43 PM

Time: 3/8/2024 5:43:50 PM   |     Distance: 27.23373    |   Participant Coords: (99.9, 1.7, -9.9)   |   Item Coord: (126.2, 0.1, -2.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.206909 5.596359
Time: 3/8/2024 5:43:50 PM   |     Distance: 25.49925    |   Participant Coords: (99.9, 1.7, -9.9)   |   Item Coord: (124.6, 0.1, -3.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.118149 5.652832
Time: 3/8/2024 5:43:50 PM   |     Distance: 26.91455    |   Participant Coords: (99.9, 1.7, -9.9)   |   Item Coord: (126.0, 0.1, -3.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.130051 5.666367
Time: 3/8/2024 5:43:50 PM   |     Distance: 23.40103    |   Participant Coords: (100.0, 1.7, -9.9)   |   Item Coord: (122.7, 0.1, -4.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.130112 5.666351
Time: 3/8/2024 5:43:50 PM   |     Distance: 22.56116    |   Participant Coords: (100.0, 1.7, -9.9)   |   Item Coord: (121.9, 0.1, -4.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.197342 5.664581
Time: 3/8/2024 5:43:50 PM   |     Distance: 23.13246    |   Participant Coords: (99.9, 1.7, -9.9)   |   Item Coord: (122.5, 0.1, -5.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.148239 5.649307
Time: 3/8/2024 5:43:50 PM   |     Distance: 27.8392    |   Participant Coords: (99.9, 1.7, -9.9)   |   Item Coord: (126.7, 0.1, -2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.12442 5.630417
Time: 3/8/2024 5:43:52 PM   |     Distance: 1.882698    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (81.7, 0.1, 29.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.826553 5.340027
Time: 3/8/2024 5:43:52 PM   |     Distance: 1.88401    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (81.7, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.831161 5.327927
Time: 3/8/2024 5:43:52 PM   |     Distance: 1.897833    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (81.7, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.816833 5.319489
Time: 3/8/2024 5:43:52 PM   |     Distance: 1.908067    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (81.8, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.777237 5.303818
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.170771    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.2, 0.1, 29.5)   |  Item: Floor 1  |   Pupil Size (Left, right): -1 5.037964
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.200122    |   Participant Coords: (80.7, 1.6, 29.1)   |   Item Coord: (82.8, 1.0, 29.7)   |  Item: w2  |   Pupil Size (Left, right): 4.730789 5.032394
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.200969    |   Participant Coords: (80.7, 1.6, 29.1)   |   Item Coord: (82.8, 1.0, 29.7)   |  Item: w2  |   Pupil Size (Left, right): 4.567459 4.861374
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.175793    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.6)   |  Item: w2  |   Pupil Size (Left, right): 4.505478 4.842087
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.174941    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.577591 4.908936
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.174304    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.524048 4.911179
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.186845    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.491806 4.855865
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.183661    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.488632 4.853271
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.180156    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.49147 4.8517
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.17573    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.449356 4.846542
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.17177    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.439926 4.829102
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.168118    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.430176 4.79805
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.176586    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.28009 4.765778
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.176753    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.348206 4.758469
Time: 3/8/2024 5:43:52 PM   |     Distance: 2.173438    |   Participant Coords: (80.7, 1.6, 29.2)   |   Item Coord: (82.8, 1.0, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.269165 4.740326
