Starting Experiment now at 3/8/2024 4:48:13 PM

Time: 3/8/2024 4:48:21 PM   |     Distance: 8.820948    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (110.1, 0.1, -7.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.282028 6.049133
Time: 3/8/2024 4:48:23 PM   |     Distance: 12.44964    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (113.7, 0.1, -6.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.286209 5.829193
Time: 3/8/2024 4:48:23 PM   |     Distance: 10.49833    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (111.8, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.315598 5.850327
Time: 3/8/2024 4:48:23 PM   |     Distance: 9.807697    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (111.1, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.340927 5.827698
Time: 3/8/2024 4:48:23 PM   |     Distance: 8.947775    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (110.2, 0.1, -7.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.387939 5.806671
Time: 3/8/2024 4:48:23 PM   |     Distance: 8.147271    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (109.4, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.320557 5.824036
Time: 3/8/2024 4:48:23 PM   |     Distance: 8.971653    |   Participant Coords: (101.9, 1.6, -10.0)   |   Item Coord: (110.3, 0.1, -7.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.309235 5.780563
Time: 3/8/2024 4:48:25 PM   |     Distance: 7.028683    |   Participant Coords: (101.9, 1.7, -10.0)   |   Item Coord: (108.3, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.527435 5.963562
Time: 3/8/2024 4:48:25 PM   |     Distance: 11.17844    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (112.0, 0.1, -5.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.443741 6.037399
Time: 3/8/2024 4:48:25 PM   |     Distance: 10.00106    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (110.8, 0.1, -5.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.518448 6.065353
