Starting Experiment now at 3/8/2024 12:19:33 PM

Time: 3/8/2024 12:19:37 PM   |     Distance: 32.78576    |   Participant Coords: (99.9, 1.7, -10.3)   |   Item Coord: (70.5, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.269958 5.438126
Time: 3/8/2024 12:19:38 PM   |     Distance: 24.21876    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (76.0, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.934402 5.756699
Time: 3/8/2024 12:19:38 PM   |     Distance: 57.30211    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (44.6, 0.0, 4.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.707382 5.252335
Time: 3/8/2024 12:19:38 PM   |     Distance: 41.83191    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (60.6, 1.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.718826 5.246674
Time: 3/8/2024 12:19:38 PM   |     Distance: 33.25465    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (69.9, 0.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.77858 5.443924
Time: 3/8/2024 12:19:38 PM   |     Distance: 30.7712    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (72.8, 0.3, 4.3)   |  Item: w2  |   Pupil Size (Left, right): 4.682724 5.5755
Time: 3/8/2024 12:19:38 PM   |     Distance: 33.13644    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (70.0, 1.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.63031 5.129517
Time: 3/8/2024 12:19:38 PM   |     Distance: 33.92516    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (69.2, 1.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.648666 5.121185
Time: 3/8/2024 12:19:38 PM   |     Distance: 33.9465    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (69.2, 0.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.676086 5.099808
Time: 3/8/2024 12:19:38 PM   |     Distance: 29.71418    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (72.5, 0.1, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.638901 5.340256
Time: 3/8/2024 12:19:38 PM   |     Distance: 33.7975    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (69.3, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.605286 5.176559
Time: 3/8/2024 12:19:38 PM   |     Distance: 34.02351    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (69.1, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.671127 5.14798
Time: 3/8/2024 12:19:38 PM   |     Distance: 35.75592    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (67.3, 2.4, 4.4)   |  Item: w1  |   Pupil Size (Left, right): 4.76091 5.101471
Time: 3/8/2024 12:19:39 PM   |     Distance: 80.97038    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (20.2, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.768112 5.22168
Time: 3/8/2024 12:19:39 PM   |     Distance: 66.40421    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (33.5, 0.1, -7.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.723633 5.385849
Time: 3/8/2024 12:19:39 PM   |     Distance: 53.26581    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (48.6, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.463211 5.230301
Time: 3/8/2024 12:19:39 PM   |     Distance: 49.24313    |   Participant Coords: (99.8, 1.7, -10.3)   |   Item Coord: (52.9, 1.9, 4.5)   |  Item: w2  |   Pupil Size (Left, right): 4.631149 5.132751
Time: 3/8/2024 12:19:39 PM   |     Distance: 42.94751    |   Participant Coords: (99.8, 1.7, -10.3)   |   Item Coord: (59.4, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.766403 5.222824
Time: 3/8/2024 12:19:39 PM   |     Distance: 41.43567    |   Participant Coords: (99.8, 1.7, -10.3)   |   Item Coord: (61.0, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.736023 5.058273
Time: 3/8/2024 12:19:39 PM   |     Distance: 40.83015    |   Participant Coords: (99.8, 1.7, -10.3)   |   Item Coord: (61.6, 1.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.459991 5.212997
Time: 3/8/2024 12:19:39 PM   |     Distance: 9.657629    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (91.3, 0.1, -5.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.105576 -1
Time: 3/8/2024 12:19:39 PM   |     Distance: 25.51764    |   Participant Coords: (99.7, 1.7, -10.3)   |   Item Coord: (78.7, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.737976 5.356277
Time: 3/8/2024 12:19:39 PM   |     Distance: 24.6665    |   Participant Coords: (99.7, 1.7, -10.3)   |   Item Coord: (79.7, 1.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.889618 5.389847
Time: 3/8/2024 12:19:39 PM   |     Distance: 31.61543    |   Participant Coords: (99.8, 1.7, -10.3)   |   Item Coord: (72.9, 0.6, 6.3)   |  Item: w2  |   Pupil Size (Left, right): 5.009903 5.362106
Time: 3/8/2024 12:19:39 PM   |     Distance: 31.67421    |   Participant Coords: (99.7, 1.7, -10.3)   |   Item Coord: (72.8, 1.1, 6.5)   |  Item: w2  |   Pupil Size (Left, right): 4.946869 5.370193
Time: 3/8/2024 12:19:39 PM   |     Distance: 31.52471    |   Participant Coords: (99.7, 1.7, -10.3)   |   Item Coord: (72.8, 0.7, 6.2)   |  Item: w2  |   Pupil Size (Left, right): 4.992126 5.495346
