Starting Experiment now at 3/8/2024 11:23:30 AM

Time: 3/8/2024 11:23:53 AM   |     Distance: 14.72292    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (90.7, 0.1, -1.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.670868 6.510193
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.78015    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.9, 1.1, 6.8)   |  Item: w2  |   Pupil Size (Left, right): 5.999741 6.253754
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.16466    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.5, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 5.938141 5.47525
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.3523    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.7, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 5.912415 6.513641
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.13347    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.7, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 5.974121 6.126251
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.76991    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 1.3, 8.2)   |  Item: w2  |   Pupil Size (Left, right): 6.110092 6.347946
Time: 3/8/2024 11:23:53 AM   |     Distance: 18.28484    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (91.2, 0.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.021133 6.020538
Time: 3/8/2024 11:23:53 AM   |     Distance: 19.57036    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (89.2, 2.5, 4.2)   |  Item: Ceiling 1  |   Pupil Size (Left, right): 5.849518 6.467422
Time: 3/8/2024 11:23:53 AM   |     Distance: 18.25228    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (91.2, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.757523 6.056213
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.66384    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.9, 1.3, 8.1)   |  Item: w2  |   Pupil Size (Left, right): 6.021927 6.360855
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.50581    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 1.2, 7.9)   |  Item: w2  |   Pupil Size (Left, right): 6.020187 6.461716
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.47488    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (82.8, 0.9, 7.8)   |  Item: w2  |   Pupil Size (Left, right): 5.864059 6.176498
Time: 3/8/2024 11:23:54 AM   |     Distance: 19.36853    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (89.4, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.934845 6.090576
Time: 3/8/2024 11:23:54 AM   |     Distance: 18.15322    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (91.4, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.775177 6.345963
Time: 3/8/2024 11:23:54 AM   |     Distance: 21.66824    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (88.6, 2.5, 6.5)   |  Item: Ceiling 1  |   Pupil Size (Left, right): 5.803238 6.549255
Time: 3/8/2024 11:23:54 AM   |     Distance: 20.85868    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (87.2, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.790451 6.828827
Time: 3/8/2024 11:23:54 AM   |     Distance: 20.62623    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (87.5, 0.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.729111 6.758362
Time: 3/8/2024 11:23:54 AM   |     Distance: 18.14108    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (91.4, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.771927 6.498718
Time: 3/8/2024 11:23:54 AM   |     Distance: 20.61529    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (87.3, 0.1, 3.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.786545 6.403152
Time: 3/8/2024 11:23:54 AM   |     Distance: 18.60479    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (89.0, 0.0, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.81337 6.505524
Time: 3/8/2024 11:23:54 AM   |     Distance: 18.61967    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (89.0, 0.0, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.836838 6.01767
Time: 3/8/2024 11:23:54 AM   |     Distance: 20.31255    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (92.9, 2.3, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 5.949966 6.100677
Time: 3/8/2024 11:23:56 AM   |     Distance: 4.301379    |   Participant Coords: (101.2, 1.7, -10.7)   |   Item Coord: (99.0, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.703476 4.374878
Time: 3/8/2024 11:23:56 AM   |     Distance: 18.23939    |   Participant Coords: (101.2, 1.7, -10.6)   |   Item Coord: (90.6, 0.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 3.757706 -1
Time: 3/8/2024 11:23:56 AM   |     Distance: 8.178057    |   Participant Coords: (101.2, 1.7, -10.6)   |   Item Coord: (96.6, 0.1, -4.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.990906 4.43779
Time: 3/8/2024 11:23:56 AM   |     Distance: 18.4082    |   Participant Coords: (101.2, 1.7, -10.6)   |   Item Coord: (90.3, 0.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.866776 5.52684
Time: 3/8/2024 11:23:56 AM   |     Distance: 5.213466    |   Participant Coords: (101.2, 1.7, -10.6)   |   Item Coord: (98.4, 0.1, -6.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.742279 5.119415
Time: 3/8/2024 11:23:57 AM   |     Distance: 18.72497    |   Participant Coords: (101.1, 1.7, -10.2)   |   Item Coord: (86.5, 0.0, 1.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.36409 5.912537
Time: 3/8/2024 11:23:57 AM   |     Distance: 24.14011    |   Participant Coords: (101.1, 1.7, -10.1)   |   Item Coord: (82.9, 1.7, 5.7)   |  Item: w2  |   Pupil Size (Left, right): 5.338409 5.356323
Time: 3/8/2024 11:23:57 AM   |     Distance: 24.48828    |   Participant Coords: (101.0, 1.7, -10.1)   |   Item Coord: (82.8, 1.7, 6.3)   |  Item: w2  |   Pupil Size (Left, right): 5.297531 5.956711
Time: 3/8/2024 11:23:57 AM   |     Distance: 24.15736    |   Participant Coords: (101.0, 1.7, -10.1)   |   Item Coord: (82.8, 1.7, 5.8)   |  Item: w2  |   Pupil Size (Left, right): 5.565918 5.948593
Time: 3/8/2024 11:23:57 AM   |     Distance: 18.36399    |   Participant Coords: (101.0, 1.7, -10.1)   |   Item Coord: (88.9, 0.1, 3.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.565674 5.146973
Time: 3/8/2024 11:23:57 AM   |     Distance: 23.93953    |   Participant Coords: (101.0, 1.7, -10.1)   |   Item Coord: (82.9, 1.3, 5.5)   |  Item: w2  |   Pupil Size (Left, right): 5.537689 5.988861
Time: 3/8/2024 11:23:57 AM   |     Distance: 23.51095    |   Participant Coords: (101.0, 1.7, -10.1)   |   Item Coord: (82.8, 0.6, 4.8)   |  Item: w2  |   Pupil Size (Left, right): 5.609634 6.102203
Time: 3/8/2024 11:23:57 AM   |     Distance: 9.288791    |   Participant Coords: (100.9, 1.7, -10.1)   |   Item Coord: (95.0, 0.1, -3.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.567078 5.858749
Time: 3/8/2024 11:23:57 AM   |     Distance: 19.72072    |   Participant Coords: (100.9, 1.7, -10.1)   |   Item Coord: (87.3, 2.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.633789 5.734222
Time: 3/8/2024 11:23:57 AM   |     Distance: 18.90952    |   Participant Coords: (100.9, 1.7, -10.1)   |   Item Coord: (88.5, 1.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.644501 6.060776
Time: 3/8/2024 11:23:57 AM   |     Distance: 23.47026    |   Participant Coords: (100.9, 1.7, -10.1)   |   Item Coord: (83.2, 0.1, 5.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.711945 5.684189
Time: 3/8/2024 11:23:57 AM   |     Distance: 18.86493    |   Participant Coords: (100.9, 1.7, -10.0)   |   Item Coord: (88.5, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.740356 6.091492
Time: 3/8/2024 11:23:57 AM   |     Distance: 15.78845    |   Participant Coords: (100.9, 1.7, -10.0)   |   Item Coord: (89.1, 0.1, 0.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.627014 6.60376
