Starting Experiment now at 3/8/2024 4:11:28 PM

Time: 3/8/2024 4:11:42 PM   |     Distance: 11.70278    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.0, 0.1, 1.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.298904 5.878265
Time: 3/8/2024 4:11:42 PM   |     Distance: 11.70111    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.0, 0.1, 1.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.316162 5.882721
Time: 3/8/2024 4:11:42 PM   |     Distance: 11.41508    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.0, 0.1, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.335052 5.885437
Time: 3/8/2024 4:11:42 PM   |     Distance: 10.66758    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.1, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.329544 5.898911
Time: 3/8/2024 4:11:42 PM   |     Distance: 10.52853    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.1, 0.1, 0.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.318985 5.863846
Time: 3/8/2024 4:11:42 PM   |     Distance: 10.60272    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.1, 0.1, 0.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.297623 5.853485
Time: 3/8/2024 4:11:42 PM   |     Distance: 10.73337    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.288116 5.844421
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.68698    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.273712 5.814987
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.60309    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.236053 5.758957
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.59076    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.21814 5.737747
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.37188    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, 0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.178162 5.645874
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.28584    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, 0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.121979 5.63443
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.36655    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, 0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.080002 5.58989
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.27467    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.4, 0.1, 0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.041504 5.561539
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.29983    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, 0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.006134 5.487595
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.06278    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.997589 5.4366
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.04755    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.968735 5.384445
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.09459    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.9198 5.309814
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.06843    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.885208 5.240921
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.38683    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.813354 5.228943
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.44334    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.790436 5.191711
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.48732    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, 0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.773315 5.142639
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.78987    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.6, 0.1, 0.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.746552 5.079147
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.758    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.6, 0.1, 0.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.711884 5.066284
Time: 3/8/2024 4:11:43 PM   |     Distance: 10.55716    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.684525 5.043503
Time: 3/8/2024 4:11:43 PM   |     Distance: 9.259874    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -1.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.506256 4.856033
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.94444    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, -1.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.484528 4.984329
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.470889    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, -1.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.461075 4.910065
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.482492    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, -1.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.448929 4.911942
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.398172    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.4, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.442123 4.880951
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.389668    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.4, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.418945 4.863373
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.388982    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.413452 4.861099
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.364535    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.411423 4.812881
