Starting Experiment now at 3/8/2024 12:14:24 PM

Time: 3/8/2024 12:14:41 PM   |     Distance: 26.01044    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.5, 14.7)   |  Item: w1  |   Pupil Size (Left, right): 5.726074 5.926926
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.51233    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.3, 1.6, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.672577 5.825851
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.25519    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.7, 15.0)   |  Item: w1  |   Pupil Size (Left, right): 5.67691 5.856934
Time: 3/8/2024 12:14:41 PM   |     Distance: 27.45432    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.8, 16.2)   |  Item: w1  |   Pupil Size (Left, right): 5.934494 5.800735
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.27025    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.3, 15.0)   |  Item: w1  |   Pupil Size (Left, right): 5.772598 5.716049
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.39314    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.1, 15.1)   |  Item: w1  |   Pupil Size (Left, right): 5.713181 5.890778
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.21062    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 0.2, 14.9)   |  Item: w1  |   Pupil Size (Left, right): 5.713242 5.87265
Time: 3/8/2024 12:14:41 PM   |     Distance: 27.09435    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.0, 15.9)   |  Item: w1  |   Pupil Size (Left, right): 5.762009 5.785477
Time: 3/8/2024 12:14:41 PM   |     Distance: 27.54256    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 0.8, 16.3)   |  Item: w1  |   Pupil Size (Left, right): 5.886902 5.742859
Time: 3/8/2024 12:14:41 PM   |     Distance: 29.91163    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 0.5, 18.8)   |  Item: w1  |   Pupil Size (Left, right): 5.631073 5.751663
Time: 3/8/2024 12:14:41 PM   |     Distance: 18.89894    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (104.3, 0.1, 8.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.274933 5.816147
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.72603    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (102.8, 0.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.435287 5.93956
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.69215    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (102.5, 0.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.538605 5.929993
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.50747    |   Participant Coords: (99.8, 1.8, -10.2)   |   Item Coord: (101.3, 0.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.561142 5.94191
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.41481    |   Participant Coords: (99.8, 1.8, -10.2)   |   Item Coord: (101.0, 1.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.383636 6.000366
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.40411    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (100.6, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.520767 5.974579
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.47861    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (101.1, 0.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.756729 6.055176
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.41271    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (101.9, 0.1, 4.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.039551 5.97316
Time: 3/8/2024 12:14:42 PM   |     Distance: 14.49112    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (101.2, 0.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.540649 5.991974
Time: 3/8/2024 12:14:42 PM   |     Distance: 9.577104    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (101.9, 0.1, -1.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.606079 6.0849
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.84225    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (101.0, 0.0, 2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.628922 6.061996
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.11177    |   Participant Coords: (99.8, 1.7, -10.2)   |   Item Coord: (101.8, 0.0, 1.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.920715 5.945511
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.43389    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.2, 0.0, 1.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.887192 5.885361
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.29759    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.1, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.884369 5.915604
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.63978    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.4, 0.0, 2.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.010178 5.856705
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.867    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.3, 0.0, 1.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.934464 5.826721
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.66442    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.2, 0.0, 1.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.871155 5.927826
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.29911    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.2, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.839432 5.97699
