Starting Experiment now at 3/8/2024 5:36:04 PM

Time: 3/8/2024 5:36:19 PM   |     Distance: 8.564179    |   Participant Coords: (99.2, 1.7, -10.0)   |   Item Coord: (107.2, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.389786 5.799362
Time: 3/8/2024 5:36:20 PM   |     Distance: 18.24057    |   Participant Coords: (99.2, 1.7, -10.0)   |   Item Coord: (116.0, 0.1, -3.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.754517 5.955322
Time: 3/8/2024 5:36:20 PM   |     Distance: 30.34776    |   Participant Coords: (99.2, 1.7, -10.0)   |   Item Coord: (127.0, 0.1, 2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.766617 5.964279
Time: 3/8/2024 5:36:24 PM   |     Distance: 27.64603    |   Participant Coords: (99.2, 1.7, -9.6)   |   Item Coord: (124.4, 0.1, 1.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.356003 4.196426
Time: 3/8/2024 5:36:24 PM   |     Distance: 18.06799    |   Participant Coords: (99.2, 1.7, -9.6)   |   Item Coord: (115.0, 0.1, -1.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.4039 4.423569
Time: 3/8/2024 5:36:24 PM   |     Distance: 17.9773    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (114.9, 0.1, -1.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.538971 4.459778
Time: 3/8/2024 5:36:24 PM   |     Distance: 15.04837    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (112.3, 0.1, -2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.547348 4.573792
Time: 3/8/2024 5:36:24 PM   |     Distance: 13.56288    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (111.0, 0.1, -3.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.697037 4.494308
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.818458    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (81.0, 0.3, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.723846 4.55571
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.732048    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.9, 0.4, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.723312 4.583176
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.73674    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (81.0, 0.4, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.757889 4.560959
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.673939    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.9, 0.4, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.808228 4.642899
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.644181    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.9, 0.4, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.797287 4.624588
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.626279    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.9, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.798599 4.648163
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.604523    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.9, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.79747 4.607697
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.573359    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.780075 4.60759
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.564756    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.763321 4.577194
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.537169    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.761642 4.583191
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.527683    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.762131 4.583038
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.517411    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.5, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 4.769485 4.626831
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.944206    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.9, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.612 4.452682
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.850413    |   Participant Coords: (79.9, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.511078 4.470596
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.847447    |   Participant Coords: (79.9, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.620026 4.522995
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.859676    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.623764 4.46582
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.866557    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.673767 4.488235
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.870824    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.8, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.633118 4.520157
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.786156    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.6, 0.1, 29.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.293549 4.606232
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.761546    |   Participant Coords: (79.9, 1.7, 29.3)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.310898 4.524628
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.755694    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.383392 4.575455
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.76839    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.448563 4.565506
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.762991    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.5, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.575684 4.480881
Time: 3/8/2024 5:36:25 PM   |     Distance: 1.756111    |   Participant Coords: (79.9, 1.7, 29.4)   |   Item Coord: (80.5, 0.1, 29.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.610291 4.751022
